split,model,article_id,offer_price,n_observations,mae,rmse,zt_avg_nll,zt_avg_crps,zt_pit_ks,zt_interval_score_0.9,zt_interval_score_0.95
split_000_test,coarse_trouser_types_empirical_utility,397068015,10.39,1,1.2128192592522269,1.2128192592522269,1.0815802159654493,0.6001990000000001,0.759590924962363,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,397068015,11.69,1,1.2105617308849101,1.2105617308849101,1.079693886304335,0.5982607499999999,0.7796706860293479,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,397068015,12.06,1,1.209920019525176,1.209920019525176,1.0791576500116764,0.5996199999999999,0.6985711873275955,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,397068015,12.99,3,1.2083086637473532,1.2083086637473532,1.0778110676346682,0.5720854999999999,0.6800628381826546,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,397068015,15.99,1,1.2031262563559126,1.2031262563559126,1.0734794634131137,0.582786,0.6717456745764271,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,397068015,16.99,3,2.59953198744016,3.209321120128499,3.477543924925692,2.2021641666666665,0.6345077506150303,29.66666666666667,30.666666666666643
split_000_test,coarse_trouser_types_empirical_utility,397068015,17.99,5,0.9198106625445476,0.999810694416068,1.1941510592326197,0.50909615,0.3667328826252088,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,397068015,18.39,1,1.1989973298390062,1.1989973298390062,1.0700275585884158,0.58177275,0.9493786323197155,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,397068015,18.56,1,1.1987054356657643,1.1987054356657643,1.0697834984005075,0.5969565000000001,0.7615338080924995,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,397068015,19.99,89,1.040633716626434,1.444401497201631,1.4910531131434026,0.6941709634831459,0.12360008747057805,5.696629213483146,7.146067415730334
split_000_test,coarse_trouser_types_empirical_utility,399087001,7.0,1,1.2186520648404136,1.2186520648404136,1.086452950505555,0.5479584999999999,0.98037969550319,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399087001,7.99,1,1.216923684810768,1.216923684810768,1.0850092090183454,0.57468425,0.725161777040032,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399087001,9.99,2,1.2134399408713934,1.2134399408713934,1.0820988027668086,0.58284325,0.6736802520957118,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399087001,14.99,1,1.2047768234511596,1.2047768234511596,1.0748591799999068,0.5584565,0.8120317377084448,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399087001,15.99,8,2.1757630237859864,3.195209373306931,2.7879206790397757,1.6759860937500002,0.23901140238375906,23.000000000000004,33.99999999999997
split_000_test,coarse_trouser_types_empirical_utility,399087001,16.99,10,1.2805319956908279,1.428472528459043,1.4961807583150513,0.7895196250000001,0.3123897086473054,5.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399087001,17.49,1,1.2004699184176744,1.2004699184176744,1.0712587710825359,0.5740107499999999,0.7029032941802531,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399087001,17.57,1,1.2003323678017286,1.2003323678017286,1.0711437707594462,0.60799475,0.8432991837327071,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399087001,17.99,5,1.1996105017096896,1.1996105017096896,1.0705402352072346,0.55685045,0.7020925393852065,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399087001,19.99,88,1.050188745055471,1.2499430066677666,1.3604539649832617,0.6352946988636363,0.24750299965225853,4.136363636363637,4.909090909090908
split_000_test,coarse_trouser_types_empirical_utility,399201022,25.0,1,1.2271669581381182,1.2271669581381182,1.09356374115825,0.5954250000000001,0.7304423867492627,4.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399201022,29.99,1,0.21841726856653043,0.21841726856653043,1.1427271573966322,0.25129574999999993,0.5360020081339885,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399201022,34.99,1,2.7902835732479447,2.7902835732479447,3.36793231604321,2.26422425,0.9627278458069617,23.000000000000004,4.0
split_000_test,coarse_trouser_types_empirical_utility,399201022,35.56,1,1.2087287276194583,1.2087287276194583,1.0781621185051509,0.5731542499999999,0.8117056203834271,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399201022,38.45,1,1.2037340811441215,1.2037340811441215,1.073987560608449,0.554394,0.7892581556496429,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399201022,39.99,3,9.599639489736072,11.550799376137286,15.754975596764291,8.967169499999999,0.6666665878927842,163.00000000000003,297.3333333333331
split_000_test,coarse_trouser_types_empirical_utility,399201022,42.49,11,2.4560051563042276,3.5288438492041476,3.4041554426821254,2.0168064545454545,0.5242977124080187,26.63636363636364,40.363636363636324
split_000_test,coarse_trouser_types_empirical_utility,399201022,44.99,16,0.9953200504199078,1.1217472716884727,1.2848597449369659,0.583109984375,0.3214163993155419,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399201022,45.99,4,1.1908060003672327,1.1908060003672327,1.063177163407414,0.55297425,0.7292391060814519,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399201022,49.99,81,0.8858321199194121,0.9924593265562204,1.1962144689365806,0.5004740925925926,0.22986285016696695,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399223004,3.99,1,1.2209078701850342,1.2209078701850342,1.0883370693239771,0.6007895,0.9223274069468855,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399223004,4.0,1,1.220890364456574,1.220890364456574,1.0883224488162921,0.5870212499999999,0.7113355159350049,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399223004,7.99,7,0.9282125063614145,1.0323081369527223,1.099521224063055,0.4770893571428571,0.43579226040454944,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399223004,10.99,9,0.9864965748583617,1.0705209004872902,1.0921865704553722,0.4951598333333334,0.44878294574513994,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399223004,12.99,8,1.1539449885149604,1.3765034157810347,1.379308984723473,0.6936178749999999,0.3885378060726796,5.5,4.0
split_000_test,coarse_trouser_types_empirical_utility,399223004,15.99,3,3.266636179198238,4.579615936644246,4.465047016039192,2.77500725,0.487091099629328,43.00000000000001,70.66666666666661
split_000_test,coarse_trouser_types_empirical_utility,399223004,16.99,11,1.7813746885509436,2.6332688595680733,2.466048087809011,1.4316193181818184,0.23281072286118198,17.545454545454547,22.181818181818166
split_000_test,coarse_trouser_types_empirical_utility,399223004,17.99,11,0.9239315924540911,1.0256689012409261,1.087580390622515,0.47549313636363644,0.5170610400502459,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399223004,18.99,3,1.1949464799117346,1.1949464799117346,1.066640207126825,0.5552206666666667,0.7899409376916836,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399223004,19.99,82,1.0124896848074805,1.299903841867158,1.5150686881512572,0.6839232835365854,0.0678760350945764,4.7073170731707314,5.46341463414634
split_000_test,coarse_trouser_types_empirical_utility,399256002,2.51,1,1.20820922995546,1.20820922995546,1.077727968882468,0.5764527500000001,0.6848846830799018,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399256002,3.99,5,1.2056498426830604,1.2056498426830604,1.0755888932922937,0.562914,0.6821784731169963,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399256002,5.6,1,1.2028721819710446,1.2028721819710446,1.073267071026827,0.5668869999999999,0.7623770630730534,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399256002,5.99,1,1.2022003556848868,1.2022003556848868,1.0727054472931212,0.5764452499999999,0.8828843380422702,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399256002,6.3,1,1.2016666242456808,1.2016666242456808,1.0722592521935908,0.5694195,0.7529365297119901,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399256002,6.64,1,1.2010815307917801,1.2010815307917801,1.0717701046933934,0.552687,0.9394872213492947,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399256002,6.99,12,0.9504795448074379,1.0444670244183654,1.0884829836292291,0.4983950000000001,0.5289447566000969,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399256002,8.49,4,2.59895161652463,3.5557501632641224,3.0529961328492017,1.9955835625,0.4882269605748198,28.000000000000004,43.999999999999964
split_000_test,coarse_trouser_types_empirical_utility,399256002,8.99,6,1.1313638455693023,1.1408570138123377,1.1603971795402193,0.56639375,0.51601038773863,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399256002,9.99,76,1.411806861657308,1.78331372167413,1.7277412095022477,0.9341546052631579,0.21570055208333538,8.526315789473685,9.789473684210522
split_000_test,coarse_trouser_types_empirical_utility,399256018,7.77,1,1.2047701058898883,1.2047701058898883,1.074853564997798,0.5558842499999999,0.7560140248866465,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399256018,7.99,2,1.2043904427062442,1.2043904427062442,1.0745362131014822,0.5656928750000001,0.8912796774923384,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399256018,8.49,3,3.40117601478517,4.607310656708221,4.278161962768782,2.7846785,0.4341823139360747,43.00000000000001,70.66666666666661
split_000_test,coarse_trouser_types_empirical_utility,399256018,8.99,2,1.2026663018779797,1.2026663018779797,1.0730949644043852,0.5660420000000002,0.7199335740119498,3.0,4.0
split_000_test,coarse_trouser_types_empirical_utility,399256018,9.26,1,1.2022012334764423,1.2022012334764423,1.0727061811094944,0.5839559999999999,0.7948709529734106,3.0,4.0
