article_id,prod_name,colour_group_name,graphical_appearance_name,garment_group_name,detail_desc,price_low,price_mid,price_high
309864002,Skinny Cheapo 89,Black,Solid,Trousers Denim,"Slim-fit jeans in washed stretch denim with an adjustable elasticated waist (in sizes 8-12Y), zip fly and button, front and back pockets, and narrow hems.",5.99,8.66,9.99
397068015,Skinny L.W Bargain (1),Black,Denim,Trousers Denim,5-pocket low-rise jeans in washed stretch denim with a button fly and skinny legs.,10.39,16.99,19.99
399087001,Super Skinny L.W Epic,Black,Solid,Trousers Denim,"5-pocket, low-rise jeans in washed, superstretch denim with a zip fly and button, and super-skinny legs.",7.0,16.99,19.99
399087014,S.Skinny L.W Epic,Blue,Denim,Trousers Denim,"5-pocket, low-rise jeans in washed, superstretch denim with a zip fly and button, and super-skinny legs.",9.89,17.23,19.99
399087015,S.Skinny L.W Epic,Dark Blue,Denim,Trousers Denim,"5-pocket, low-rise jeans in washed, superstretch denim with a zip fly and button, and super-skinny legs.",14.99,17.49,19.99
399136009,Shaping Skinny R.W.,Black,Solid,Trousers Denim,"Shaping. 5-pocket jeans in washed denim with technical stretch that holds in and shapes the tummy, thighs and seat while keeping the jeans in shape. Regular waist and skinny legs.",12.99,39.99,49.99
399136011,Shaping Skinny R.W,Dark Green,Solid,Trousers Denim,"Shaping. 5-pocket jeans in washed denim with technical stretch that holds in and shapes the tummy, thighs and seat while keeping the jeans in shape. Regular waist and skinny legs.",11.49,34.99,49.99
399201022,Shaping Skinny H.W,Dark Blue,Denim,Trousers Denim,"5-pocket jeans in washed, stretch denim with a high waist, zip fly and button and skinny legs. Shaping – denim with a stretch function that holds in and shapes the waist, thighs and bum while keeping the jeans in shape.",25.0,39.99,49.99
399201023,Shaping Skinny H.W,Dark Blue,Denim,Trousers Denim,"5-pocket jeans in washed, stretch denim with a high waist, zip fly and button and skinny legs. Shaping – denim with a stretch function that holds in and shapes the waist, thighs and bum while keeping the jeans in shape.",19.99,39.99,49.99
399223004,Jeggings H.W,Greenish Khaki,Solid,Trousers Denim,"Jeggings in washed, superstretch denim with a high waist, fake front pockets, real back pockets and skinny legs.",3.99,15.99,19.99
399223028,Jeggings H.W,Dark Red,Denim,Trousers Denim,"Jeggings in washed, superstretch denim with a high waist, fake front pockets, real back pockets and skinny legs.",1.99,5.99,19.99
399256002,Skinny Ankle R.W Brooklyn,Dark Blue,Denim,Trousers Denim,"Ankle-length jeans in washed stretch denim with a regular waist, fake front pockets, real back pockets and skinny legs.",2.51,6.64,9.99
399256018,Skinny Ankle R.W Brooklyn,Blue,Denim,Trousers,"Ankle-length jeans in washed stretch denim with a regular waist, fake front pockets, real back pockets and skinny legs.",7.77,9.26,9.99
399256023,Skinny Ankle R.W Brooklyn,Light Blue,Denim,Trousers Denim,"Ankle-length jeans in washed stretch denim with a regular waist, fake front pockets, real back pockets and skinny legs.",8.49,9.42,9.99
399256032,Skinny Ankle R.W Brooklyn,Dark Blue,Denim,Trousers,"Ankle-length jeans in washed stretch denim with a regular waist, fake front pockets, real back pockets and skinny legs.",7.49,8.66,9.99
400342003,Slim 5pkt Midprice,Black,Solid,Trousers Denim,"5-pocket, low-rise jeans in washed stretch denim with slim legs. The jeans are made partly from recycled cotton.",3.99,18.85,29.99
441386001,Jonte Skinny Jogger 24.99:-,Black,Solid,Jersey Fancy,"Joggers in sweatshirt fabric with an elasticated drawstring waist, zipped side pockets, a low crotch and tapered legs with seams at the knees and ribbed hems.",7.19,21.24,24.99
518329007,Space Treggings,Black,Solid,Trousers,"Treggings in superstretch twill with an elasticated waist, fake pockets at the front and real pockets at the back.",2.51,5.99,14.99
524825011,Latte slacks (1),Black,Solid,Trousers,"Trousers in a stretch weave with a fly with a hook-and-eye fastener, a regular waist, side pockets and tapered legs.",4.99,20.99,24.99
529953001,Peggy Trouser,Black,Solid,Trousers,Treggings with a high waist and concealed elastication.,1.99,15.99,19.99
534357002,Boyfriend L.W FEL,Light Blue,Denim,Trousers Denim,"5-pocket low-rise jeans in washed denim with hard-worn details, a button fly and slightly wider, tapered legs.",1.59,15.99,39.99
534357015,Boyfriend L.W FEL,Light Blue,Denim,Trousers Denim,"5-pocket low-rise jeans in washed denim with hard-worn details, a button fly and slightly wider, tapered legs.",7.87,33.99,39.99
