type_id,n_customers,weight,summary
RD01,235178,0.1714150352045948,Richer full-population diagnostic type RD01; population share 17.14%. Median age 24; median all-category transaction count 0; median all-category paid price $0.00; most common overall product types: NO_PURCHASE. 0.0% bought at least one allowed training trouser product.  NOTE: all-category txn_count/mean_price/top_product_type come from the paper precomputed feature artifact and are not strict product-holdout-clean.
RD02,52471,0.03824472659951311,"Richer full-population diagnostic type RD02; population share 3.82%. Median age 35; median all-category transaction count 20; median all-category paid price $14.78; most common overall product types: Trousers, Sweater, Dress, T-shirt, Blouse. 100.0% bought at least one allowed training trouser product. Among those buyers, median allowed-trouser purchases 1, median allowed-trouser paid price $16.66, common colors Black, Dark Blue, Light Blue, Blue, Dark Grey, appearances Solid, Denim, All over pattern, Melange, Stripe, and product names Enter treggings, Luna skinny RW, Skinny Ankle R.W Brooklyn, Push Up Jegging L.W, Space 5 pkt tregging. NOTE: all-category txn_count/mean_price/top_product_type come from the paper precomputed feature artifact and are not strict product-holdout-clean."
RD03,141121,0.102859371127859,"Richer full-population diagnostic type RD03; population share 10.29%. Median age 26; median all-category transaction count 5; median all-category paid price $14.70; most common overall product types: Swimwear bottom, Leggings/Tights, Skirt, Shirt, Hoodie. 0.1% bought at least one allowed training trouser product. Among those buyers, median allowed-trouser purchases 1, median allowed-trouser paid price $19.99, common colors Black, Dark Blue, Light Blue, Blue, Dark Grey, appearances Solid, Denim, Melange, and product names Luna skinny RW, Noa skinny trouser, Hayes slim trouser, Push Up Jegging L.W, Julia RW Skinny Denim TRS. NOTE: all-category txn_count/mean_price/top_product_type come from the paper precomputed feature artifact and are not strict product-holdout-clean."
RD04,67519,0.04921281651336025,"Richer full-population diagnostic type RD04; population share 4.92%. Median age 54; median all-category transaction count 8; median all-category paid price $14.87; most common overall product types: Sweater, Top, Vest top, Underwear bottom, Bikini top. 0.1% bought at least one allowed training trouser product. Among those buyers, median allowed-trouser purchases 1, median allowed-trouser paid price $18.76, common colors Black, Dark Blue, Light Blue, Dark Grey, Blue, appearances Solid, Denim, Melange, Stripe, and product names Julia RW Skinny Denim TRS, Skinny Ankle R.W Brooklyn, Hayes slim trouser, Luna skinny RW, Noa skinny trouser. NOTE: all-category txn_count/mean_price/top_product_type come from the paper precomputed feature artifact and are not strict product-holdout-clean."
RD05,81827,0.05964153996413942,"Richer full-population diagnostic type RD05; population share 5.96%. Median age 27; median all-category transaction count 14; median all-category paid price $16.99; most common overall product types: Trousers. 0.2% bought at least one allowed training trouser product. Among those buyers, median allowed-trouser purchases 1, median allowed-trouser paid price $19.15, common colors Black, Dark Blue, Light Blue, Blue, Dark Grey, appearances Solid, Denim, Melange, Treatment, All over pattern, and product names Luna skinny RW, Push Up Jegging L.W, Skinny Ankle R.W Brooklyn, Julia RW Skinny Denim TRS, S.Skinny L.W Epic. NOTE: all-category txn_count/mean_price/top_product_type come from the paper precomputed feature artifact and are not strict product-holdout-clean."
RD06,117076,0.08533360544614353,"Richer full-population diagnostic type RD06; population share 8.53%. Median age 33; median all-category transaction count 11; median all-category paid price $17.46; most common overall product types: Dress. 0.1% bought at least one allowed training trouser product. Among those buyers, median allowed-trouser purchases 1, median allowed-trouser paid price $19.99, common colors Black, Light Blue, Dark Blue, Blue, Yellowish Brown, appearances Solid, Denim, Melange, All over pattern, Treatment, and product names Luna skinny RW, Push Up Jegging L.W, Skinny Ankle R.W Brooklyn, Noa skinny trouser, Hayes slim trouser. NOTE: all-category txn_count/mean_price/top_product_type come from the paper precomputed feature artifact and are not strict product-holdout-clean."
RD07,27976,0.02039096779836441,"Richer full-population diagnostic type RD07; population share 2.04%. Median age 37; median all-category transaction count 2; median all-category paid price $43.19; most common overall product types: Jacket, Dress, Coat, Blazer, Trousers. 0.0% bought at least one allowed training trouser product. Among those buyers, median allowed-trouser purchases 1, median allowed-trouser paid price $29.99, common colors Black, appearances Solid, and product names Push Up Jegging L.W. NOTE: all-category txn_count/mean_price/top_product_type come from the paper precomputed feature artifact and are not strict product-holdout-clean."
RD08,47387,0.03453913322351638,"Richer full-population diagnostic type RD08; population share 3.45%. Median age 29; median all-category transaction count 8; median all-category paid price $14.26; most common overall product types: Bra. 0.0% bought at least one allowed training trouser product. Among those buyers, median allowed-trouser purchases 1, median allowed-trouser paid price $19.99, common colors Black, Blue, Dark Blue, Dark Grey, Dark Green, appearances Solid, Denim, Melange, and product names Basic sweatpants, Push Up Jegging L.W, Luna skinny RW, Julia RW Skinny Denim TRS, Hayes slim trouser. NOTE: all-category txn_count/mean_price/top_product_type come from the paper precomputed feature artifact and are not strict product-holdout-clean."
RD09,63012,0.04592778320383679,"Richer full-population diagnostic type RD09; population share 4.59%. Median age 32; median all-category transaction count 11; median all-category paid price $11.66; most common overall product types: T-shirt. 0.1% bought at least one allowed training trouser product. Among those buyers, median allowed-trouser purchases 1, median allowed-trouser paid price $18.42, common colors Black, Light Blue, Dark Blue, Dark Grey, Blue, appearances Solid, Denim, Melange, Contrast, and product names Skinny Ankle R.W Brooklyn, Luna skinny RW, Basic sweatpants, Push Up Jegging L.W, Hayes slim trouser. NOTE: all-category txn_count/mean_price/top_product_type come from the paper precomputed feature artifact and are not strict product-holdout-clean."
RD10,103717,0.0755965830405691,"Richer full-population diagnostic type RD10; population share 7.56%. Median age 27; median all-category transaction count 9; median all-category paid price $12.99; most common overall product types: Bikini top, Vest top, Underwear bottom, Top. 0.1% bought at least one allowed training trouser product. Among those buyers, median allowed-trouser purchases 1, median allowed-trouser paid price $19.99, common colors Black, Dark Blue, Light Blue, Dark Green, Blue, appearances Solid, Denim, Melange, All over pattern, and product names Push Up Jegging L.W, Luna skinny RW, Basic sweatpants, Noa skinny trouser, Hayes slim trouser. NOTE: all-category txn_count/mean_price/top_product_type come from the paper precomputed feature artifact and are not strict product-holdout-clean."
RD11,130910,0.0954168428111197,"Richer full-population diagnostic type RD11; population share 9.54%. Median age 52; median all-category transaction count 0; median all-category paid price $0.00; most common overall product types: NO_PURCHASE, Vest top, Underwear bottom, Dress, Top. 0.0% bought at least one allowed training trouser product.  NOTE: all-category txn_count/mean_price/top_product_type come from the paper precomputed feature artifact and are not strict product-holdout-clean."
RD12,62106,0.04526742372337789,"Richer full-population diagnostic type RD12; population share 4.53%. Median age 51; median all-category transaction count 10; median all-category paid price $17.88; most common overall product types: Trousers. 0.4% bought at least one allowed training trouser product. Among those buyers, median allowed-trouser purchases 1, median allowed-trouser paid price $18.95, common colors Black, Light Blue, Dark Blue, Dark Grey, Blue, appearances Solid, Denim, Melange, All over pattern, Stripe, and product names Skinny Ankle R.W Brooklyn, Luna skinny RW, Push Up Jegging L.W, Julia RW Skinny Denim TRS, Noa skinny trouser. NOTE: all-category txn_count/mean_price/top_product_type come from the paper precomputed feature artifact and are not strict product-holdout-clean."
RD13,86159,0.0627990203938833,"Richer full-population diagnostic type RD13; population share 6.28%. Median age 51; median all-category transaction count 4; median all-category paid price $15.38; most common overall product types: Shirt, Leggings/Tights, Hoodie, Cardigan, Skirt. 0.1% bought at least one allowed training trouser product. Among those buyers, median allowed-trouser purchases 1, median allowed-trouser paid price $19.99, common colors Black, Dark Blue, Dark Grey, Light Blue, Blue, appearances Solid, Denim, Melange, Stripe, and product names Hayes slim trouser, Julia RW Skinny Denim TRS, Luna skinny RW, Basic sweatpants, Push Up Jegging L.W. NOTE: all-category txn_count/mean_price/top_product_type come from the paper precomputed feature artifact and are not strict product-holdout-clean."
RD14,66063,0.048151576553594075,"Richer full-population diagnostic type RD14; population share 4.82%. Median age 26; median all-category transaction count 10; median all-category paid price $14.99; most common overall product types: Sweater. 0.1% bought at least one allowed training trouser product. Among those buyers, median allowed-trouser purchases 1, median allowed-trouser paid price $19.99, common colors Black, Light Blue, Dark Blue, Dark Grey, Blue, appearances Solid, Denim, Melange, and product names Push Up Jegging L.W, Luna skinny RW, Julia RW Skinny Denim TRS, Skinny Ankle R.W Brooklyn, Kanta slacks RW. NOTE: all-category txn_count/mean_price/top_product_type come from the paper precomputed feature artifact and are not strict product-holdout-clean."
RD15,34756,0.02533273079782504,"Richer full-population diagnostic type RD15; population share 2.53%. Median age 31; median all-category transaction count 10; median all-category paid price $13.69; most common overall product types: Shorts. 0.1% bought at least one allowed training trouser product. Among those buyers, median allowed-trouser purchases 1, median allowed-trouser paid price $19.99, common colors Black, Dark Grey, Light Blue, Blue, Dark Green, appearances Solid, Denim, Melange, Contrast, and product names Julia RW Skinny Denim TRS, Push Up Jegging L.W, Basic sweatpants, Luna skinny RW, Skinny Ankle R.W Brooklyn. NOTE: all-category txn_count/mean_price/top_product_type come from the paper precomputed feature artifact and are not strict product-holdout-clean."
RD16,54702,0.03987084359830318,"Richer full-population diagnostic type RD16; population share 3.99%. Median age 34; median all-category transaction count 7; median all-category paid price $15.99; most common overall product types: Blouse. 0.1% bought at least one allowed training trouser product. Among those buyers, median allowed-trouser purchases 1, median allowed-trouser paid price $19.99, common colors Black, Dark Blue, Light Blue, Yellowish Brown, Dark Green, appearances Solid, Denim, Melange, All over pattern, Stripe, and product names Luna skinny RW, Noa skinny trouser, Skinny Ankle R.W Brooklyn, Push Up Jegging L.W, Hayes slim trouser. NOTE: all-category txn_count/mean_price/top_product_type come from the paper precomputed feature artifact and are not strict product-holdout-clean."
