type_id,n_customers,weight,summary
SB1,15970,0.011640111371885888,"Strict full-population buyer type SB1; population share 1.16%. Only the 60 allowed training trouser products are used for behavioral features. Median age 35; median trouser purchases 1 across 1 articles; median paid price $14.99; recency 112 days; middle-50% purchase count 1-1. Common colors: Black, Dark Blue, Light Blue, Blue, Yellowish Brown. Common garment groups: Trousers, Trousers Denim, Jersey Basic. Common appearances: Solid, Denim, All over pattern, Melange, Stripe. Common product names: Skinny Ankle R.W Brooklyn, Kanta slacks RW, Enter treggings, Luna skinny RW, Push Up Jegging L.W."
SB2,904,0.0006589017332614178,"Strict full-population buyer type SB2; population share 0.07%. Only the 60 allowed training trouser products are used for behavioral features. Median age 38; median trouser purchases 2 across 2 articles; median paid price $17.22; recency 147 days; middle-50% purchase count 2-3. Common colors: Black, Dark Blue, Blue, Light Blue, Dark Grey. Common garment groups: Trousers, Trousers Denim, Jersey Basic. Common appearances: Solid, Denim, All over pattern, Melange, Stripe. Common product names: Luna skinny RW, Enter treggings, Skinny Ankle R.W Brooklyn, Push Up Jegging L.W, Space 5 pkt tregging."
SB3,31995,0.023320310791702503,"Strict full-population buyer type SB3; population share 2.33%. Only the 60 allowed training trouser products are used for behavioral features. Median age 35; median trouser purchases 1 across 1 articles; median paid price $17.99; recency 280 days; middle-50% purchase count 1-1. Common colors: Black, Dark Blue, Light Blue, Blue, Dark Grey. Common garment groups: Trousers, Trousers Denim, Jersey Basic. Common appearances: Solid, Denim, All over pattern, Melange, Stripe. Common product names: Luna skinny RW, Enter treggings, Push Up Jegging L.W, Space 5 pkt tregging, Jade Denim TRS."
SB4,1061,0.0007733348882636773,"Strict full-population buyer type SB4; population share 0.08%. Only the 60 allowed training trouser products are used for behavioral features. Median age 38; median trouser purchases 2 across 2 articles; median paid price $16.66; recency 201 days; middle-50% purchase count 2-3. Common colors: Black, Dark Blue, Light Blue, Blue, Dark Grey. Common garment groups: Trousers, Trousers Denim, Jersey Basic. Common appearances: Solid, Denim, All over pattern, Melange, Stripe. Common product names: Skinny Ankle R.W Brooklyn, Enter treggings, Luna skinny RW, Space 5 pkt tregging, Push Up Jegging L.W."
SB5,790,0.000575810143005,"Strict full-population buyer type SB5; population share 0.06%. Only the 60 allowed training trouser products are used for behavioral features. Median age 42; median trouser purchases 2 across 2 articles; median paid price $16.61; recency 103 days; middle-50% purchase count 2-3. Common colors: Black, Dark Blue, Blue, Light Blue, Dark Grey. Common garment groups: Trousers, Trousers Denim, Jersey Basic. Common appearances: Solid, Denim, All over pattern, Melange, Treatment. Common product names: Luna skinny RW, Enter treggings, Space 5 pkt tregging, Push Up Jegging L.W, S.Skinny L.W Epic."
SB6,1019,0.000742722197116576,"Strict full-population buyer type SB6; population share 0.07%. Only the 60 allowed training trouser products are used for behavioral features. Median age 39; median trouser purchases 2 across 2 articles; median paid price $16.66; recency 179 days; middle-50% purchase count 2-3. Common colors: Black, Dark Blue, Light Blue, Blue, Dark Grey. Common garment groups: Trousers, Trousers Denim, Jersey Basic. Common appearances: Solid, Denim, All over pattern, Stripe, Melange. Common product names: Enter treggings, Push Up Jegging L.W, Skinny Ankle R.W Brooklyn, Luna skinny RW, Space 5 pkt tregging."
SB7,1183,0.0008622574673100191,"Strict full-population buyer type SB7; population share 0.09%. Only the 60 allowed training trouser products are used for behavioral features. Median age 41; median trouser purchases 2 across 2 articles; median paid price $16.46; recency 232 days; middle-50% purchase count 2-2. Common colors: Black, Dark Blue, Blue, Light Blue, Dark Grey. Common garment groups: Trousers, Trousers Denim, Jersey Basic. Common appearances: Solid, Denim, All over pattern, Treatment, Melange. Common product names: Enter treggings, Skinny Ankle R.W Brooklyn, Luna skinny RW, Space 5 pkt tregging, Push Up Jegging L.W."
SB8,555,0.0004045248473009811,"Strict full-population buyer type SB8; population share 0.04%. Only the 60 allowed training trouser products are used for behavioral features. Median age 41; median trouser purchases 3 across 2 articles; median paid price $16.14; recency 36 days; middle-50% purchase count 2-3. Common colors: Black, Light Blue, Blue, Dark Blue, Dark Grey. Common garment groups: Trousers, Trousers Denim, Jersey Basic. Common appearances: Solid, Denim, Melange, All over pattern, Treatment. Common product names: Luna skinny RW, Space 5 pkt tregging, Skinny Ankle R.W Brooklyn, Julia RW Skinny Denim TRS, Enter treggings."
SNB_16-24,346392,0.2524759836149215,"Strict full-population non-buyer type SNB_16-24; population share 25.25%; age group 16-24. No purchase of any of the 60 allowed training trouser products during the history window. No transaction-derived general-category features are used, so held-out trouser products cannot contaminate this type. Treat this as low observed category affinity, not zero future interest."
SNB_25-34,377965,0.27548870974795553,"Strict full-population non-buyer type SNB_25-34; population share 27.55%; age group 25-34. No purchase of any of the 60 allowed training trouser products during the history window. No transaction-derived general-category features are used, so held-out trouser products cannot contaminate this type. Treat this as low observed category affinity, not zero future interest."
SNB_35-44,162090,0.11814312161984869,"Strict full-population non-buyer type SNB_35-44; population share 11.81%; age group 35-44. No purchase of any of the 60 allowed training trouser products during the history window. No transaction-derived general-category features are used, so held-out trouser products cannot contaminate this type. Treat this as low observed category affinity, not zero future interest."
SNB_45-54,241334,0.17590198107844138,"Strict full-population non-buyer type SNB_45-54; population share 17.59%; age group 45-54. No purchase of any of the 60 allowed training trouser products during the history window. No transaction-derived general-category features are used, so held-out trouser products cannot contaminate this type. Treat this as low observed category affinity, not zero future interest."
SNB_55P,175229,0.1277197918337002,"Strict full-population non-buyer type SNB_55P; population share 12.77%; age group 55+. No purchase of any of the 60 allowed training trouser products during the history window. No transaction-derived general-category features are used, so held-out trouser products cannot contaminate this type. Treat this as low observed category affinity, not zero future interest."
