article_id,name,type,color,description,offer_id,price,level
397068015,Skinny L.W Bargain (1),Trousers,Black,5-pocket low-rise jeans in washed stretch denim with a button fly and skinny legs.,397068015_0,10.39,low
397068015,Skinny L.W Bargain (1),Trousers,Black,5-pocket low-rise jeans in washed stretch denim with a button fly and skinny legs.,397068015_5,16.99,mid
397068015,Skinny L.W Bargain (1),Trousers,Black,5-pocket low-rise jeans in washed stretch denim with a button fly and skinny legs.,397068015_9,19.99,high
539723038,Jade Denim TRS,Trousers,Greenish Khaki,"High-waisted jeans in washed superstretch denim with a zip fly and button, fake front pockets, real back pockets and super-skinny legs.",539723038_0,1.49,low
539723038,Jade Denim TRS,Trousers,Greenish Khaki,"High-waisted jeans in washed superstretch denim with a zip fly and button, fake front pockets, real back pockets and super-skinny legs.",539723038_5,10.99,mid
539723038,Jade Denim TRS,Trousers,Greenish Khaki,"High-waisted jeans in washed superstretch denim with a zip fly and button, fake front pockets, real back pockets and super-skinny legs.",539723038_9,19.99,high
547780003,Basic sweatpants,Trousers,Grey,"Trousers in soft sweatshirt fabric with an elasticated drawstring waist, side pockets and ribbed hems. Soft brushed inside.",547780003_0,2.99,low
547780003,Basic sweatpants,Trousers,Grey,"Trousers in soft sweatshirt fabric with an elasticated drawstring waist, side pockets and ribbed hems. Soft brushed inside.",547780003_5,12.74,mid
547780003,Basic sweatpants,Trousers,Grey,"Trousers in soft sweatshirt fabric with an elasticated drawstring waist, side pockets and ribbed hems. Soft brushed inside.",547780003_9,14.99,high
562245006,Luna skinny 5 pkt,Trousers,Grey,"5-pocket jeans in washed, superstretch denim with a regular waist, zip fly and button, and skinny legs.",562245006_0,2.99,low
562245006,Luna skinny 5 pkt,Trousers,Grey,"5-pocket jeans in washed, superstretch denim with a regular waist, zip fly and button, and skinny legs.",562245006_5,15.99,mid
562245006,Luna skinny 5 pkt,Trousers,Grey,"5-pocket jeans in washed, superstretch denim with a regular waist, zip fly and button, and skinny legs.",562245006_9,19.99,high
562245059,Luna skinny RW,Trousers,Blue,"5-pocket jeans in washed, superstretch denim with a regular waist, zip fly and button, and skinny legs.",562245059_0,6.49,low
562245059,Luna skinny RW,Trousers,Blue,"5-pocket jeans in washed, superstretch denim with a regular waist, zip fly and button, and skinny legs.",562245059_5,15.99,mid
562245059,Luna skinny RW,Trousers,Blue,"5-pocket jeans in washed, superstretch denim with a regular waist, zip fly and button, and skinny legs.",562245059_9,19.99,high
