pair_id,persona_id,article_id,share_with_trouser_history,control_mean_p,rich_mean_p,mean_delta_rich_minus_control,mean_abs_point_delta,max_abs_point_delta
397068015__P017,P017,397068015,0.4342441517593867,0.1822,0.3879,0.2057,0.2057,0.237
397068015__P019,P019,397068015,0.0362272240085744,0.12639999999999998,0.046099999999999995,-0.08030000000000001,0.08030000000000001,0.10899999999999999
397068015__P031,P031,397068015,0.5093260382989306,0.5735000000000001,0.7113,0.1378,0.1378,0.16199999999999998
397068015__P038,P038,397068015,0.1609074122922711,0.15040000000000003,0.083,-0.06739999999999999,0.06739999999999999,0.09200000000000001
397068015__P039,P039,397068015,0.2168036045587066,0.13820000000000002,0.127,-0.0112,0.0112,0.02100000000000002
397068015__P041,P041,397068015,0.5761217948717948,0.13069999999999998,0.34009999999999996,0.20939999999999998,0.20939999999999998,0.246
397068015__P042,P042,397068015,0.3121261555193039,0.1719,0.2783,0.10640000000000001,0.10640000000000001,0.124
397068015__P043,P043,397068015,0.3691106774463339,0.6159000000000001,0.6125999999999999,-0.003300000000000014,0.005299999999999994,0.01200000000000001
397068015__P045,P045,397068015,0.4132231404958678,0.24269999999999997,0.43339999999999995,0.1907,0.1907,0.20500000000000002
397068015__P049,P049,397068015,0.2596830985915493,0.07830000000000001,0.1252,0.0469,0.0469,0.064
539723038__P017,P017,539723038,0.4342441517593867,0.3088000000000001,0.5146000000000001,0.20579999999999998,0.20579999999999998,0.22799999999999998
539723038__P019,P019,539723038,0.0362272240085744,0.1976,0.07360000000000001,-0.12400000000000003,0.12400000000000003,0.179
539723038__P031,P031,539723038,0.5093260382989306,0.6723,0.7725000000000001,0.10020000000000003,0.10020000000000003,0.15799999999999997
539723038__P038,P038,539723038,0.1609074122922711,0.23019999999999996,0.12840000000000001,-0.1018,0.1018,0.14600000000000002
539723038__P039,P039,539723038,0.2168036045587066,0.24020000000000002,0.2116,-0.028600000000000014,0.028600000000000014,0.05099999999999999
539723038__P041,P041,539723038,0.5761217948717948,0.2303,0.47809999999999997,0.24780000000000002,0.24780000000000002,0.27999999999999997
539723038__P042,P042,539723038,0.3121261555193039,0.294,0.4081,0.11410000000000001,0.11410000000000001,0.12600000000000006
539723038__P043,P043,539723038,0.3691106774463339,0.7112,0.7009000000000001,-0.010299999999999976,0.011499999999999977,0.019000000000000017
539723038__P045,P045,539723038,0.4132231404958678,0.38280000000000003,0.5639999999999998,0.18119999999999997,0.18119999999999997,0.20400000000000001
539723038__P049,P049,539723038,0.2596830985915493,0.17550000000000002,0.23879999999999998,0.0633,0.0633,0.08300000000000002
547780003__P017,P017,547780003,0.4342441517593867,0.2876,0.5329,0.2453,0.2453,0.25400000000000006
547780003__P019,P019,547780003,0.0362272240085744,0.1923,0.0715,-0.12080000000000002,0.12080000000000002,0.192
547780003__P031,P031,547780003,0.5093260382989306,0.6333,0.7499999999999999,0.11669999999999998,0.11669999999999998,0.1359999999999999
547780003__P038,P038,547780003,0.1609074122922711,0.22399999999999998,0.12510000000000002,-0.09889999999999999,0.09889999999999999,0.15199999999999997
547780003__P039,P039,547780003,0.2168036045587066,0.20350000000000001,0.1828,-0.0207,0.0207,0.04799999999999999
547780003__P041,P041,547780003,0.5761217948717948,0.23089999999999997,0.5221,0.2912,0.2912,0.30000000000000004
547780003__P042,P042,547780003,0.3121261555193039,0.2621,0.39089999999999997,0.12879999999999997,0.12879999999999997,0.134
547780003__P043,P043,547780003,0.3691106774463339,0.7074,0.6974,-0.009999999999999998,0.009999999999999998,0.017000000000000015
547780003__P045,P045,547780003,0.4132231404958678,0.32809999999999995,0.5321999999999999,0.2041,0.2041,0.20900000000000002
547780003__P049,P049,547780003,0.2596830985915493,0.13709999999999997,0.20329999999999998,0.06620000000000001,0.06620000000000001,0.08800000000000002
562245006__P017,P017,562245006,0.4342441517593867,0.24690000000000004,0.4659000000000001,0.219,0.219,0.245
562245006__P019,P019,562245006,0.0362272240085744,0.17340000000000003,0.06420000000000001,-0.10919999999999999,0.10919999999999999,0.184
562245006__P031,P031,562245006,0.5093260382989306,0.6253000000000001,0.7474999999999999,0.1222,0.1222,0.16199999999999998
562245006__P038,P038,562245006,0.1609074122922711,0.2024,0.1129,-0.0895,0.0895,0.14700000000000002
562245006__P039,P039,562245006,0.2168036045587066,0.1933,0.17390000000000003,-0.019399999999999994,0.019399999999999994,0.04799999999999999
562245006__P041,P041,562245006,0.5761217948717948,0.1968,0.45500000000000007,0.2582,0.2582,0.29100000000000004
562245006__P042,P042,562245006,0.3121261555193039,0.22759999999999997,0.3427,0.11510000000000002,0.11510000000000002,0.132
562245006__P043,P043,562245006,0.3691106774463339,0.7071999999999999,0.6993,-0.007900000000000008,0.008300000000000007,0.017000000000000015
562245006__P045,P045,562245006,0.4132231404958678,0.3096,0.5049,0.1953,0.1953,0.20900000000000002
562245006__P049,P049,562245006,0.2596830985915493,0.11829999999999999,0.1752,0.056900000000000006,0.056900000000000006,0.08499999999999996
562245059__P017,P017,562245059,0.4342441517593867,0.2375,0.4625,0.225,0.225,0.24900000000000005
562245059__P019,P019,562245059,0.0362272240085744,0.17130000000000004,0.0636,-0.10770000000000002,0.10770000000000002,0.161
562245059__P031,P031,562245059,0.5093260382989306,0.621,0.7491,0.12810000000000002,0.12810000000000002,0.16400000000000003
562245059__P038,P038,562245059,0.1609074122922711,0.2004,0.1121,-0.08830000000000002,0.08830000000000002,0.12999999999999998
562245059__P039,P039,562245059,0.2168036045587066,0.1859,0.1681,-0.017799999999999996,0.017799999999999996,0.03799999999999998
562245059__P041,P041,562245059,0.5761217948717948,0.19319999999999998,0.4596000000000001,0.2664000000000001,0.2664000000000001,0.3
562245059__P042,P042,562245059,0.3121261555193039,0.219,0.33649999999999997,0.11750000000000001,0.11750000000000001,0.134
562245059__P043,P043,562245059,0.3691106774463339,0.718,0.7107,-0.007299999999999973,0.007499999999999974,0.015999999999999903
562245059__P045,P045,562245059,0.4132231404958678,0.29600000000000004,0.49539999999999995,0.1994,0.1994,0.21099999999999997
562245059__P049,P049,562245059,0.2596830985915493,0.1099,0.16670000000000001,0.0568,0.0568,0.08099999999999999
