persona_id,share_with_trouser_history,mean_delta_rich_minus_control,mean_abs_point_delta,n_products
P017,0.4342441517593867,0.22016,0.22016,5
P019,0.0362272240085744,-0.10840000000000001,0.10840000000000001,5
P031,0.5093260382989306,0.121,0.121,5
P038,0.1609074122922711,-0.08918,0.08918,5
P039,0.2168036045587066,-0.019540000000000002,0.019540000000000002,5
P041,0.5761217948717948,0.25460000000000005,0.25460000000000005,5
P042,0.3121261555193039,0.11638000000000001,0.11638000000000001,5
P043,0.3691106774463339,-0.007759999999999994,0.00851999999999999,5
P045,0.4132231404958678,0.19414,0.19414,5
P049,0.2596830985915493,0.05802,0.05802,5
